,subway,totalPrice,unitPrice,houseName,room_counts,area,direction,else1,else2,elevator,position,address
0,无,133万,单价19923元/平米,万基兰御  , 2室1厅 , 66.76平米 , 东 , 其他,,,中楼层(共18层)2013年建板楼  ,  金府
1,无,82万,单价10259元/平米,蛟龙银座  , 2室1厅 , 79.93平米 , 西 , 其他,,,低楼层(共17层)板楼  ,  蛟龙港
2,距离2号线人民公园站195米,145万,单价20089元/平米,将军街47号  , 2室1厅 , 72.18平米 , 南 , 其他,,,低楼层(共7层)2002年建板塔结合  ,  宽窄巷子
3,距离7号线东坡路站315米,360万,单价24144元/平米,中华家园西区  , 3室2厅 , 149.11平米 , 南 , 其他,,,低楼层(共6层)2004年建板楼  ,  西南财大
4,无,115万,单价13699元/平米,汇融悉尼湾达令港  , 3室2厅 , 83.95平米 , 西 , 其他,,,低楼层(共29层)2013年建塔楼  ,  大丰
5,无,90万,单价12511元/平米,公园1号  , 3室2厅 , 71.94平米 , 西北 , 其他,,,低楼层(共25层)2016年建塔楼  ,  红光
6,无,137.5万,单价15805元/平米,保利玫瑰花语  , 3室2厅 , 87平米 , 西 , 其他,,,低楼层(共32层)2016年建板楼  ,  大面
7,无,126万,单价18634元/平米,锦绣东方一期  , 2室1厅 , 67.62平米 , 东 , 简装,,,低楼层(共33层)2008年建塔楼  ,  万象城
8,无,145万,单价14365元/平米,温哥华花园六期  , 3室2厅 , 100.94平米 , 南 , 其他 , 有电梯,,中楼层(共16层)2013年建塔楼  ,  航空港
9,距离1号线火车南站站256米,229万,单价18984元/平米,都会路苑  , 3室2厅 , 120.63平米 , 北 , 其他,,,中楼层(共18层)2010年建塔楼  ,  城南宜家
10,距离1号线世纪城站260米,142万,单价22164元/平米,天鹅湖北苑  , 2室1厅 , 64.07平米 , 南 , 其他,,,中楼层(共31层)2007年建板塔结合  ,  新会展
11,距离4号线文化宫站481米,146万,单价18083元/平米,光华馨地  , 2室1厅 , 80.74平米 , 北 , 其他,,,高楼层(共11层)2006年建塔楼  ,  西南财大
12,距离1号线桐梓林站699米,200万,单价20726元/平米,名士公馆  , 2室2厅 , 96.5平米 , 西北 , 简装,,,中楼层(共11层)2003年建板楼  ,  航空路
