,haskey,houseInfo,positionInfo,subway,taxfree,title,totalPrice,unitPrice
0,随时看房,天鹅湖北苑  | 2室1厅 | 64.07平米 | 南 | 其他,中楼层(共31层)2007年建板塔结合  -  新会展,距离1号线世纪城站260米,无,天鹅湖北苑套二，房东自住重新装修。,142万,单价22164元/平米
1,随时看房,蓝润锦江春天  | 3室2厅 | 71.12平米 | 东南 | 其他,高楼层(共26层)2016年建板楼  -  三圣乡,无,无,蓝润锦江春天三居室，清水房，看房预约,140万,单价19686元/平米
2,随时看房,城市物语  | 2室1厅 | 41.96平米 | 西 | 其他,中楼层(共10层)2003年建板楼  -  贝森,无,无,此房位于三环内，双新南路83号，电梯小户型跃层。,99万,单价23594元/平米
3,随时看房,蛟龙银座  | 2室1厅 | 79.97平米 | 西 | 其他,低楼层(共17层)板楼  -  蛟龙港,无,无,蛟龙银座 简装套二 中间楼层 满两年,84万,单价10504元/平米
4,随时看房,中铁丽景书香  | 3室1厅 | 83.89平米 | 东 南 | 其他,低楼层(共23层)2016年建塔楼  -  温江大学城,距离4号线万盛站1103米,无,中铁丽景书香装修套三 低楼层 采光好,100万,单价11921元/平米
5,随时看房,保利叶语  | 3室2厅 | 93.16平米 | 南 | 其他,低楼层(共27层)2015年建板塔结合  -  华府,无,无,保 利叶语  三居室  清水   朝 南,165万,单价17712元/平米
6,随时看房,合能珍宝琥珀  | 3室2厅 | 82.79平米 | 西 | 毛坯 | 有电梯,高楼层(共34层)2014年建板塔结合  -  光华大道沿线,距离4号线凤凰大街站762米,无,合能珍宝琥珀清水小套三，对中庭,110万,单价13287元/平米
7,随时看房,南延新苑  | 3室1厅 | 129.28平米 | 南 | 其他 | 有电梯,中楼层(共28层)2011年建塔楼  -  东苑,距离7号线三瓦窑站500米,无,南三环 1号7号双地铁 南向送车位,268万,单价20731元/平米
8,随时看房,富丽东方  | 3室1厅 | 105.82平米 | 东南 | 其他,高楼层(共33层)2008年建塔楼  -  成渝立交,无,无,蓝光富丽东方精装套三双卫对中庭,220万,单价20791元/平米
9,随时看房,印象金沙  | 3室2厅 | 103.74平米 | 西北 | 其他,中楼层(共11层)2007年建板塔结合  -  金沙,距离4号线清江西路站1144米,无,印象金沙  标准套三双卫 清水 户型方正 客厅带阳台,192万,单价18508元/平米
10,随时看房,合能锦城  | 3室1厅 | 81平米 | 东南 | 其他,低楼层(共32层)2015年建板楼  -  三圣乡,无,无,户型方正，视野采光好，简单装修,152万,单价18766元/平米
11,随时看房,中铁丽景书香  | 2室2厅 | 82平米 | 东 | 其他,中楼层(共33层)2016年建塔楼  -  温江大学城,无,无,中铁丽景书香一期，装修房，满两年,107万,单价13049元/平米
12,随时看房,中国水电泛悦国际  | 3室2厅 | 82.5平米 | 北 | 简装 | 有电梯,低楼层(共34层)2015年建板楼  -  火车南站,无,无,中国水电泛悦国际+套三+单卫+简装,217万,单价26304元/平米
13,随时看房,保利康桥  | 3室2厅 | 123平米 | 东 | 其他,高楼层(共34层)2014年建板楼  -  东郊记忆,无,无,保利康桥 套三双卫 中高楼层朝东,390万,单价31708元/平米
14,随时看房,映日荷花  | 2室1厅 | 60.8平米 | 东 西 | 其他 | 有电梯,中楼层(共23层)2009年建塔楼  -  五块石,无,无,映日荷花套二出售， 卫生间带窗户， 不临街,100万,单价16448元/平米
15,随时看房,华都美林湾  | 2室2厅 | 77.09平米 | 东南 | 其他,中楼层(共11层)2012年建塔楼  -  三圣乡,无,无,华都美林湾套二单卫，有装修有家电,145万,单价18810元/平米
16,随时看房,川网国际花园  | 3室2厅 | 103.82平米 | 东 | 简装,中楼层(共11层)板塔结合  -  蛟龙港,无,无,川网国际花园，有装修，套三 。房主自荐,148万,单价14256元/平米
17,随时看房,果壳里的城  | 3室2厅 | 89平米 | 南 | 精装,中楼层(共34层)2012年建塔楼  -  龙泉驿城区,距离2号线书房站772米,无,果壳里的城  装修套三 客厅朝南 满两年,145万,单价16293元/平米
18,随时看房,中粮锦云  | 3室2厅 | 89平米 | 西北 | 毛坯,高楼层(共33层)2016年建板塔结合  -  万年场,距离7号线崔家店站1149米,无,2.3环 沙河边 品质楼盘 清水套三 带车位 随时看房！,226万,单价25394元/平米
19,随时看房,都会路苑  | 3室1厅 | 120.63平米 | 北 | 其他,中楼层(共18层)2010年建塔楼  -  城南宜家,距离1号线火车南站站256米,无,火车南站 套三双卫 居家装修 拎包入住,229万,单价18984元/平米
20,随时看房,洲际亚洲湾  | 3室2厅 | 89.81平米 | 东北 | 其他,中楼层(共38层)2017年建板楼  -  光华大道沿线,距离4号线凤凰大街站1019米,无,洲际亚洲湾套三单卫中间楼层看中庭房主自荐,125万,单价13919元/平米
21,随时看房,中国水电泛悦国际  | 3室2厅 | 82.13平米 | 东北 | 简装,低楼层(共34层)2015年建板楼  -  火车南站,无,无,科华中路，中国水电泛悦国际+套三单卫,202万,单价24596元/平米
22,随时看房,天赋龙庭  | 2室2厅 | 86.89平米 | 东南 | 其他,高楼层(共31层)板塔结合  -  十陵,无,无,天赋龙庭，两室两厅一厨一卫，有阳台房主自荐,106万,单价12200元/平米
23,随时看房,恒大都汇华庭  | 2室1厅 | 88.8平米 | 西北 | 其他 | 有电梯,高楼层(共50层)2015年建板楼  -  合江亭,距离2号线春熙路站415米,无,恒大都汇华庭  套二  有装修  带阳台,330万,单价37163元/平米
24,随时看房,合能珍宝琥珀  | 2室2厅 | 65.17平米 | 西北 | 其他 | 有电梯,中楼层(共34层)2014年建板塔结合  -  光华大道沿线,距离4号线凤凰大街站594米,无,合能珍宝琥珀  电梯高层  装修套二,100万,单价15345元/平米
25,随时看房,公园1号  | 3室2厅 | 71.94平米 | 西北 | 其他,低楼层(共25层)2016年建塔楼  -  红光,无,无,公园1号 有装修 有家具家电 随时看房,88万,单价12233元/平米
26,随时看房,映日荷花  | 2室1厅 | 57.28平米 | 西 | 其他,中楼层(共23层)2009年建塔楼  -  五块石,无,无,映日荷花      套二出售              有装修,87万,单价15189元/平米
27,随时看房,汇融悉尼湾达令港  | 3室2厅 | 83.95平米 | 西 | 其他,低楼层(共29层)2013年建塔楼  -  大丰,无,无,此房为达令港套三 中下楼层 清水房 对中庭 采光好,115万,单价13699元/平米
28,随时看房,光华馨地  | 2室1厅 | 80.74平米 | 北 | 其他,高楼层(共11层)2006年建塔楼  -  西南财大,距离4号线文化宫站481米,无,光华馨地 套二 高楼层 有电梯 采光好,146万,单价18083元/平米
29,随时看房,温哥华花园六期  | 3室2厅 | 100.94平米 | 南 | 其他 | 有电梯,中楼层(共16层)2013年建塔楼  -  航空港,无,无,温哥华花园6期套三双卫，中高楼层，带阳台。房主自荐,145万,单价14365元/平米
,haskey,houseInfo,positionInfo,subway,taxfree,title,totalPrice,unitPrice
0,随时看房,天鹅湖北苑  | 1室0厅 | 52.2平米 | 西北 | 其他 | 有电梯,高楼层(共31层)2007年建板塔结合  -  新会展,距离1号线世纪城站260米,房本满五年,天鹅湖北苑  标间 客厅带阳台,95万,单价18200元/平米
1,随时看房,营福巷53号  | 3室1厅 | 72.9平米 | 西北 | 毛坯,中楼层(共7层)1996年建板塔结合  -  抚琴小区,距离2号线蜀汉路东站1123米,房本满五年,低楼层、套三、客厅带阳台、清水房好装修,105万,单价14404元/平米
2,随时看房,缤纷时代广场  | 1室0厅 | 29.2平米 | 东南 | 其他,高楼层(共25层)2012年建板塔结合  -  新都城区,无,无,此房是标间，简单装修，视野开阔，采光好。,19.8万,单价6781元/平米
3,随时看房,万基金蓝湾  | 1室0厅 | 36.35平米 | 西北 | 其他 | 有电梯,中楼层(共18层)2009年建板塔结合  -  红光,无,无,万基金蓝湾 标间  带阳台 装修,28万,单价7703元/平米
4,无,城南新贵  | 4室2厅 | 130.98平米 | 北 | 简装 | 有电梯,中楼层(共11层)2002年建板塔结合  -  航空路,距离1号线桐梓林站353米,房本满五年,桐梓林 城南新贵  套四  中间楼层采光充足明亮,235万,单价17942元/平米
5,无,花间兰庭  | 1室1厅 | 61.99平米 | 东 | 其他 | 有电梯,低楼层(共14层)2009年建板楼  -  外双楠,距离7号线龙爪堰站1021米,房本满五年,外双楠  花间兰庭 电梯套一 明厨明卫 不临街,139万,单价22423元/平米
6,无,金沙芙蓉苑  | 3室2厅 | 143平米 | 西 | 其他 | 无电梯,中楼层(共6层)2005年建板楼  -  金沙,距离7号线金沙博物馆站706米,房本满五年,双卫三居室，户型方正客厅对中庭，楼间距大，高同树梢,300万,单价20980元/平米
7,无,金地花园  | 5室2厅 | 247.84平米 | 南 | 其他 | 有电梯,高楼层(共18层)2003年建塔楼  -  双楠,无,无,金地花园  顶跃五室两厅四卫    带花园,450万,单价18157元/平米
8,无,世纪金沙  | 3室2厅 | 125.87平米 | 东 | 其他 | 有电梯,低楼层(共11层)2009年建板塔结合  -  金沙,距离4号线清江西路站783米,无,世纪金沙有装修套三，带阳台，不临街,295万,单价23437元/平米
9,无,筒车巷29号  | 3室1厅 | 68.8平米 | 东南 | 其他 | 无电梯,中楼层(共7层)2000年建板楼  -  花牌坊,无,无,一环内+花牌坊+多层中间楼层套三单卫+看房预约,115万,单价16716元/平米
10,无,龙安街2号  | 2室1厅 | 78.35平米 | 北 | 简装,中楼层(共6层)2000年建板楼  -  外双楠,距离7号线龙爪堰站299米,无,龙安街2号中间楼层明厨明卫带储物间房主自荐,135万,单价17231元/平米
11,无,中德英伦联邦A区  | 3室2厅 | 85.79平米 | 西南 | 其他,高楼层(共33层)2013年建板塔结合  -  中德,无,无,高新区中德英伦联邦A区装修套三,243万,单价28325元/平米
